Run Number,beam species,beam energy (GeV),bias Voltage ,Number Triggers ,Number Spills,mapping (filename),"Table Position (x, y)",# trigger per spill,start time (s),end time (s),length (min),events/min,dead time,trig delay,calibration ADC,calibration TOA,Calibration TOT,machine gun number,comments
294,Muon +,5,43,0,0,,"(0,0)",#DIV/0!,9/3/2024 7:46:00,9/3/2024 8:53:00,67.00,0.00,1000,19,,,,9,Run stopped due to FPGA 2 seeing noise
295,Muon +,5,43,0,0,,"(0,0)",#DIV/0!,9/3/2024 7:46:00,9/3/2024 8:53:00,67.00,0.00,1000,19,,,,9,Run stopped to reprogram FPGA 2
296,Muon +,5,43,0,0,,"(0,0)",#DIV/0!,9/3/2024 7:46:00,9/3/2024 8:53:00,67.00,0.00,1000,19,,,,9,Run stopped due to FPGA 2 being dead
297,Muon +,5,43,0,0,,"(0,0)",#DIV/0!,9/3/2024 7:46:00,9/3/2024 8:53:00,67.00,0.00,1000,19,,,,9,Run stopped to apply HV
298,Muon +,5,43,0,0,,"(0,0)",#DIV/0!,9/3/2024 7:46:00,9/3/2024 8:53:00,67.00,0.00,1000,19,,,,9,Run stopped to send FPGA 2 Config
299,Muon +,5,43,1138,62,,"(0,0)",18.35,9/3/2024 8:53:00,9/3/2024 9:16:00,23.00,49.48,1000,19,,,,9,Run stopped due to FPGA 2 seeing noise
300,Muon +,5,43,606,33,,"(5,0)",18.36,9/3/2024 9:25:00,9/3/2024 9:34:00,9.00,67.33,1000,19,,,,9,Run stopped due to 15 GeV file uploaded
301,Muon +,15,43,417111,223,,"(0,0)","1,870.45",9/3/2024 9:39:00,9/3/2024 11:00:00,81.00,"5,149.52",20000,19,,,,9,Run started for PS intervention
302,Muon +,5,43,1998,88,,"(5,0)",22.70,9/3/2024 12:27:00,9/3/2024 12:55:00,28.00,71.36,1000,19,,,,9,
303,Muon +,5,43,1761,83,,"(-5,0)",21.22,9/3/2024 12:56:00,9/3/2024 13:20:00,24.00,73.38,1000,19,,,,9,Run stopped early due to beam stop.
304,Muon +,5,43,2275,85,,"(5,0)",26.76,9/3/2024 13:22:00,9/3/2024 13:52:00,30.00,75.83,1000,19,,,,9,
305,Muon +,5,43,2047,75,,"(-5,0)",27.29,9/3/2024 13:52:00,9/3/2024 14:15:00,23.00,89.00,1000,19,,,,9,
306,Muon +,5,43,2141,82,,"(5,0)",26.11,9/3/2024 14:16:00,9/3/2024 14:40:00,24.00,89.21,1000,19,,,,9,
307,Muon +,5,43,2008,80,,"(-5,0)",25.10,9/3/2024 14:41:00,9/3/2024 15:05:00,24.00,83.67,1000,19,,,,9,
308,Muon +,5,43,2143,81,,"(-5,0)",26.46,9/3/2024 15:05:00,9/3/2024 15:30:00,25.00,85.72,1000,19,,,,9,
309,Muon +,5,43,2014,76,,"(-5,0)",26.50,9/3/2024 15:30:00,9/3/2024 15:52:00,22.00,91.55,1000,19,,,,9,
310,Muon +,5,43,2119,83,,"(-5,0)",25.53,9/3/2024 15:54:00,9/3/2024 16:18:00,24.00,88.29,1000,19,,,,9,
311,Muon +,5,43,2059,72,,"(6, 0.5)",28.60,9/3/2024 16:20:00,9/3/2024 16:42:00,22.00,93.59,1000,19,,,,9,
312,Muon +,5,43,2006,69,,"(6, 0.5)",29.07,9/3/2024 16:42:00,9/3/2024 17:02:00,20.00,100.30,1000,19,,,,9,
313,Muon +,5,43,2108,78,,"(-4, 0.5)",27.03,9/3/2024 17:03:00,9/3/2024 17:25:00,22.00,95.82,1000,19,,,,9,
314,Muon +,5,43,2120,82,,"(-4, 0.5)",25.85,9/3/2024 17:26:00,9/3/2024 17:49:00,23.00,92.17,1000,19,,,,9,
315,Muon +,5,43,2207,83,,"(6, 1)",26.59,9/3/2024 17:50:00,9/3/2024 18:13:00,23.00,95.96,1000,19,,,,9,
316,Muon +,5,43,2043,75,,"(6, 1)",27.24,9/3/2024 18:15:00,9/3/2024 18:33:00,18.00,113.50,1000,19,,,,9,
317,Muon +,5,43,2023,79,,"(6, 1)",25.61,9/3/2024 18:34:00,9/3/2024 18:58:00,24.00,84.29,1000,19,,,,9,
318,Muon +,5,43,2082,80,,"(6, 1)",26.03,9/3/2024 18:58:00,9/3/2024 19:22:00,24.00,86.75,1000,19,,,,9,
319,Muon +,5,43,2021,80,,"(6, 1)",25.26,9/3/2024 19:22:00,9/3/2024 19:48:00,26.00,77.73,1000,19,,,,9,
320,Muon +,5,43,2002,82,,"(-4, 1)",24.41,9/3/2024 19:49:00,9/3/2024 20:14:00,25.00,80.08,1000,19,,,,9,
321,Muon +,5,43,2087,82,,"(-4, 1)",25.45,9/3/2024 20:31:00,9/3/2024 20:50:00,19.00,109.84,1000,19,,,,9,
322,Hadron +,15,43,1781231,165,,"(-4, 1)","10,795.34",9/3/2024 21:07:00,9/3/2024 21:44:00,37.00,"48,141.38",20000,19,,,,9,
323,Hadron +,15,43,1732626,150,,"(6, 1)","11,550.84",9/3/2024 21:45:00,9/3/2024 22:22:00,37.00,"46,827.73",20000,19,,,,9,
325,Hadron +,15,43,1202227,104,,"(6, 1)","11,559.88",9/3/2024 22:22:00,9/3/2024 22:47:00,25.00,"48,089.08",20000,19,,,,9,pausing early to change position of DESY table
326,Hadron +,15,43,417859,36,,"(-4, 1)","11,607.19",9/3/2024 22:47:00,9/3/2024 22:57:00,10.00,"41,785.90",20000,19,,,,9,pausing early to change for electrons
327,Electron,4,43,2183,216,,"(0,1)",10.11,9/3/2024 23:00:00,9/4/2024 0:00:00,60.00,36.38,1000,19,,,,9,
328,Electron,4,43,5007,500,,"(0,1)",10.01,9/4/2024 0:00:00,9/4/2024 1:35:00,95.00,52.71,1000,19,,,,9,
329,Electron,4,43,6304,620,,"(0,1)",10.17,9/4/2024 1:35:00,9/4/2024 3:10:00,95.00,66.36,1000,19,,,,9,
330,Electron,4,43,5000,483,,"(0,1)",10.35,9/4/2024 3:20:00,9/4/2024 5:00:00,100.00,50.00,1000,19,,,,9,
331,Electron,4,43,5021,504,,"(0,1)",9.96,9/4/2024 5:00:00,9/4/2024 6:26:00,86.00,58.38,1000,19,,,,9,
332,Electron,4,43,5020,502,,"(0,1)",10.00,9/4/2024 6:27:00,9/4/2024 7:58:00,91.00,55.16,1000,19,,,,9,
333,Hadron +,15,0,5000,,,"(0,1)",,9/4/2024 8:03:00,9/4/2024 8:07:00,4.00,"1,250.00",10000,19,,,,9,for noise estimates w/o bias voltage - triggered by scintilators
334,Hadron +,15,0,10000,,,"(0,1)",,9/4/2024 8:07:00,9/4/2024 8:10:00,3.00,"3,333.33",10000,19,,,,9,for noise estimates w/o bias voltage - triggered by scintilators
335,Hadron +,15,0,10000,,,"(0,1)",,9/4/2024 8:10:00,9/4/2024 8:13:00,3.00,"3,333.33",10000,19,,,,9,for noise estimates w/o bias voltage - triggered by scintilators
336,Hadron +,15,0,30000,,,"(0,1)",,9/4/2024 8:13:00,9/4/2024 8:16:00,3.00,"10,000.00",10000,19,,,,9,for noise estimates w/o bias voltage - triggered by scintilators
337,pedestal,-,43,200000,,,"(0,1)",,9/4/2024 8:17:00,,,,10000,19,,,,9,
